ds,y,he
2000-12-31,40.037,4.63926125
2001-12-31,39.777,4.8036828
2002-12-31,39.468,4.95862436
2003-12-31,39.135,5.16911125
2004-12-31,38.773,5.3449378
2005-12-31,38.366,5.31436777
2006-12-31,37.89,5.87344599
2007-12-31,37.33,5.99706984
2008-12-31,36.678,6.04985666
2009-12-31,35.942,6.02780771
2010-12-31,35.128,6.11675072
2011-12-31,34.249,5.81170416
2012-12-31,33.333,5.61369753
2013-12-31,32.415,5.51942348
2014-12-31,31.522,5.45934105
2015-12-31,30.688,5.21938848
2016-12-31,29.943,5.14090538
2017-12-31,29.296,4.8369956
2018-12-31,28.748,5.16729498
