ds,y,he
2000-12-31,98.5,4.63926125
2001-12-31,94.2,4.8036828
2002-12-31,89.9,4.95862436
2003-12-31,85.5,5.16911125
2004-12-31,81.1,5.3449378
2005-12-31,76.5,5.31436777
2006-12-31,72.3,5.87344599
2007-12-31,68.3,5.99706984
2008-12-31,63.9,6.04985666
2009-12-31,60.3,6.02780771
2010-12-31,57.9,6.11675072
2011-12-31,56,5.81170416
2012-12-31,54.6,5.61369753
2013-12-31,52.8,5.51942348
2014-12-31,51.3,5.45934105
2015-12-31,49.6,5.21938848
2016-12-31,47.8,5.14090538
2017-12-31,46.4,4.8369956
2018-12-31,44.6,5.16729498
