ds,y
1952-12-31,300.0374
1953-12-31,283.9339
1954-12-31,268.4150
1955-12-31,254.0990
1956-12-31,240.8236
1957-12-31,228.6289
1958-12-31,217.4429
1959-12-31,207.2148
1960-12-31,198.1244
1961-12-31,190.0339
1962-12-31,182.8098
1963-12-31,176.7336
1964-12-31,171.5284
1965-12-31,167.3934
1966-12-31,163.9319
1967-12-31,160.6776
1968-12-31,157.4452
1969-12-31,154.1212
1970-12-31,150.7770
1971-12-31,147.3017
1972-12-31,143.6628
1973-12-31,139.8870
1974-12-31,135.8794
1975-12-31,131.6822
1976-12-31,127.3379
1977-12-31,123.0136
1978-12-31,118.6751
1979-12-31,114.5418
1980-12-31,110.6367
1981-12-31,107.0529
1982-12-31,103.8319
1983-12-31,101.0556
1984-12-31,98.7650
1985-12-31,97.1640
1986-12-31,96.3002
1987-12-31,96.2848
1988-12-31,97.2010
1989-12-31,98.9791
1990-12-31,101.4755
1991-12-31,104.3285
1992-12-31,107.1834
1993-12-31,109.4135
1994-12-31,110.7966
1995-12-31,111.0024
1996-12-31,110.1488
1997-12-31,108.2275
1998-12-31,105.5414
1999-12-31,102.2992
2000-12-31,98.5219
2001-12-31,94.2367
2002-12-31,89.8713
2003-12-31,85.4772
2004-12-31,81.1147
2005-12-31,76.5055
2006-12-31,72.2645
2007-12-31,68.3061
2008-12-31,63.8920
2009-12-31,60.2613
2010-12-31,57.8866
2011-12-31,56.0274
2012-12-31,54.5683
2013-12-31,52.7877
2014-12-31,51.2583
2015-12-31,49.5871
2016-12-31,47.7768
2017-12-31,46.4232
2018-12-31,44.6162
2019-12-31,43.1555
