year,value
1952,300.0374
1953,283.9339
1954,268.4150
1955,254.0990
1956,240.8236
1957,228.6289
1958,217.4429
1959,207.2148
1960,198.1244
1961,190.0339
1962,182.8098
1963,176.7336
1964,171.5284
1965,167.3934
1966,163.9319
1967,160.6776
1968,157.4452
1969,154.1212
1970,150.7770
1971,147.3017
1972,143.6628
1973,139.8870
1974,135.8794
1975,131.6822
1976,127.3379
1977,123.0136
1978,118.6751
1979,114.5418
1980,110.6367
1981,107.0529
1982,103.8319
1983,101.0556
1984,98.7650
1985,97.1640
1986,96.3002
1987,96.2848
1988,97.2010
1989,98.9791
1990,101.4755
1991,104.3285
1992,107.1834
1993,109.4135
1994,110.7966
1995,111.0024
1996,110.1488
1997,108.2275
1998,105.5414
1999,102.2992
2000,98.5219
2001,94.2367
2002,89.8713
2003,85.4772
2004,81.1147
2005,76.5055
2006,72.2645
2007,68.3061
2008,63.8920
2009,60.2613
2010,57.8866
2011,56.0274
2012,54.5683
2013,52.7877
2014,51.2583
2015,49.5871
2016,47.7768
2017,46.4232
2018,44.6162
2019,43.1555
