ds,y
1950-12-31,33.9736
1951-12-31,33.3593
1952-12-31,32.6379
1953-12-31,31.6855
1954-12-31,30.5275
1955-12-31,29.2801
1956-12-31,28.0727
1957-12-31,27.0009
1958-12-31,26.1573
1959-12-31,25.5404
1960-12-31,25.0221
1961-12-31,24.4601
1962-12-31,23.7968
1963-12-31,23.0254
1964-12-31,22.1392
1965-12-31,21.1333
1966-12-31,20.0447
1967-12-31,18.9805
1968-12-31,18.0814
1969-12-31,17.3595
1970-12-31,16.6498
1971-12-31,15.8038
1972-12-31,14.8628
1973-12-31,13.9266
1974-12-31,13.0665
1975-12-31,12.3006
1976-12-31,11.6355
1977-12-31,11.0749
1978-12-31,10.6144
1979-12-31,10.2517
1980-12-31,9.9657
1981-12-31,9.7461
1982-12-31,9.5976
1983-12-31,9.5400
1984-12-31,9.5698
1985-12-31,9.6467
1986-12-31,9.7180
1987-12-31,9.7317
1988-12-31,9.6253
1989-12-31,9.3654
1990-12-31,8.9531
1991-12-31,8.4294
1992-12-31,7.8645
1993-12-31,7.3384
1994-12-31,6.8881
1995-12-31,6.5243
1996-12-31,6.2404
1997-12-31,6.0252
1998-12-31,5.8757
1999-12-31,5.7754
2000-12-31,5.6950
2001-12-31,5.6116
2002-12-31,5.5033
2003-12-31,5.3608
2004-12-31,5.1816
2005-12-31,4.9742
2006-12-31,4.7580
2007-12-31,4.5483
2008-12-31,4.3590
2009-12-31,4.2068
2010-12-31,4.1057
2011-12-31,4.0619
2012-12-31,4.0581
2013-12-31,4.0763
2014-12-31,4.0939
2015-12-31,4.0907
2016-12-31,4.0549
2017-12-31,3.9859
2018-12-31,3.8850
2019-12-31,3.7657
