ds,y
1960-12-25,51.156
1961-12-25,51.068
1962-12-25,50.976
1963-12-25,50.887
1964-12-25,50.807
1965-12-25,50.748
1966-12-25,50.723
1967-12-25,50.731
1968-12-25,50.768
1969-12-25,50.825
1970-12-25,50.887
1971-12-25,50.938
1972-12-25,50.958
1973-12-25,50.935
1974-12-25,50.859
1975-12-25,50.732
1976-12-25,50.56
1977-12-25,50.356
1978-12-25,50.125
1979-12-25,49.863
1980-12-25,49.564
1981-12-25,49.219
1982-12-25,48.817
1983-12-25,48.349
1984-12-25,47.808
1985-12-25,47.171
1986-12-25,46.409
1987-12-25,45.529
1988-12-25,44.56
1989-12-25,43.544
1990-12-25,42.56
1991-12-25,41.698
1992-12-25,41.015
1993-12-25,40.542
1994-12-25,40.28
1995-12-25,40.196
1996-12-25,40.226
1997-12-25,40.282
1998-12-25,40.289
1999-12-25,40.212
2000-12-25,40.037
2001-12-25,39.777
2002-12-25,39.468
2003-12-25,39.135
2004-12-25,38.773
2005-12-25,38.366
2006-12-25,37.89
2007-12-25,37.33
2008-12-25,36.678
2009-12-25,35.942
2010-12-25,35.128
2011-12-25,34.249
2012-12-25,33.333
2013-12-25,32.415
2014-12-25,31.522
2015-12-25,30.688
2016-12-25,29.943
2017-12-25,29.296
2018-12-25,28.748
2019-12-25,28.298
