ds,y
1954-12-31,56.1143
1955-12-31,54.5433
1956-12-31,52.9046
1957-12-31,51.3540
1958-12-31,49.8244
1959-12-31,48.2608
1960-12-31,46.8156
1961-12-31,45.3485
1962-12-31,43.8799
1963-12-31,42.5804
1964-12-31,41.5252
1965-12-31,40.7330
1966-12-31,40.2094
1967-12-31,39.8503
1968-12-31,39.4558
1969-12-31,39.0358
1970-12-31,38.6150
1971-12-31,38.0697
1972-12-31,37.3865
1973-12-31,36.6637
1974-12-31,35.9812
1975-12-31,35.3047
1976-12-31,34.7520
1977-12-31,34.2474
1978-12-31,33.7409
1979-12-31,33.2324
1980-12-31,32.7509
1981-12-31,32.2612
1982-12-31,31.7821
1983-12-31,31.2893
1984-12-31,30.7646
1985-12-31,30.2083
1986-12-31,29.6041
1987-12-31,29.0183
1988-12-31,28.4482
1989-12-31,27.9520
1990-12-31,27.6219
1991-12-31,27.4746
1992-12-31,27.4540
1993-12-31,27.5408
1994-12-31,27.7019
1995-12-31,27.9273
1996-12-31,28.1559
1997-12-31,28.3687
1998-12-31,28.4967
1999-12-31,28.5537
2000-12-31,28.5347
2001-12-31,28.3844
2002-12-31,28.1465
2003-12-31,27.8543
2004-12-31,27.4988
2005-12-31,27.0671
2006-12-31,26.5496
2007-12-31,26.0096
2008-12-31,25.4516
2009-12-31,24.9412
2010-12-31,24.5034
2011-12-31,24.1085
2012-12-31,23.7373
2013-12-31,23.4253
2014-12-31,23.0632
2015-12-31,22.7087
2016-12-31,22.3109
2017-12-31,21.9312
2018-12-31,21.4813
2019-12-31,21.0366
