ds,y
1964-12-31,323.2834
1965-12-31,316.1758
1966-12-31,309.1904
1967-12-31,302.4202
1968-12-31,295.7898
1969-12-31,288.9323
1970-12-31,281.4448
1971-12-31,273.8444
1972-12-31,265.6811
1973-12-31,257.4478
1974-12-31,249.3024
1975-12-31,241.4747
1976-12-31,234.0314
1977-12-31,227.1559
1978-12-31,221.0562
1979-12-31,215.8689
1980-12-31,211.7791
1981-12-31,208.7477
1982-12-31,206.9363
1983-12-31,206.2346
1984-12-31,206.2787
1985-12-31,206.8861
1986-12-31,207.8020
1987-12-31,208.7062
1988-12-31,209.3524
1989-12-31,209.6902
1990-12-31,209.5245
1991-12-31,209.0290
1992-12-31,208.3228
1993-12-31,207.3992
1994-12-31,206.0714
1995-12-31,204.1310
1996-12-31,201.3568
1997-12-31,197.7819
1998-12-31,193.4633
1999-12-31,188.4645
2000-12-31,183.1422
2001-12-31,177.6872
2002-12-31,172.0063
2003-12-31,166.3641
2004-12-31,160.8376
2005-12-31,155.5091
2006-12-31,150.5580
2007-12-31,146.0485
2008-12-31,142.1759
2009-12-31,138.7823
2010-12-31,135.9766
2011-12-31,133.5931
2012-12-31,131.6780
2013-12-31,129.9321
2014-12-31,128.4533
2015-12-31,126.8335
2016-12-31,125.0402
2017-12-31,122.7989
2018-12-31,120.0377
2019-12-31,117.2021
